,name,accuracy,sensitivity,specificity
0,augment-10-30,0.6204444444444447,0.5630000000000001,0.6760000000000003
1,augment-20-30,0.6417777777777779,0.6290000000000002,0.6560000000000001
2,augment-25-10,0.5688888888888892,0.548,0.5980000000000002
3,augment-25-20,0.6484444444444446,0.6440000000000002,0.6580000000000001
4,augment-25-25,0.6475555555555556,0.6030000000000001,0.6960000000000001
5,augment-25-30,0.6435555555555557,0.6060000000000001,0.682
6,augment-25-40,0.6577777777777781,0.6390000000000001,0.679
7,augment-30-30,0.6560000000000001,0.6300000000000001,0.6829999999999999
8,augment-40-30,0.6571111111111112,0.6140000000000002,0.701
9,augment-50-30,0.6808888888888893,0.6550000000000001,0.7060000000000001
10,unaugment-05-30,0.578,0.5429999999999999,0.6270000000000001
11,unaugment-10-30,0.5537777777777778,0.486,0.628
12,unaugment-15-30,0.6360000000000003,0.6200000000000001,0.6540000000000002
13,unaugment-20-30,0.6457777777777781,0.6140000000000001,0.685
14,unaugment-25-10,0.5586666666666664,0.5529999999999999,0.5710000000000002
15,unaugment-25-20,0.5971111111111114,0.565,0.6330000000000002
16,unaugment-25-25,0.5986666666666668,0.5810000000000002,0.618
17,unaugment-25-30,0.6335555555555559,0.606,0.6630000000000001
18,unaugment-25-40,0.6293333333333336,0.6170000000000002,0.6530000000000002
19,unaugment-30-30,0.652666666666667,0.6370000000000001,0.672
20,unaugment-35-30,0.644,0.6280000000000001,0.6640000000000001
21,unaugment-40-30,0.655777777777778,0.6410000000000002,0.6730000000000002
22,unaugment-45-30,0.6542222222222225,0.6520000000000004,0.6680000000000001
23,unaugment-50-30,0.6455555555555557,0.6040000000000001,0.6850000000000002
